ad_cv_id,question,answer
139765599-2960584,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",dạ
139765599-2962032,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Em đã làm việc tại highlands coffee
139765599-2962032,các loại nước uống nào là thế mạnh của bạn?,Em đã có kinh nghiệm làm những món cơ bản trong quầy bar ạ
139765599-2962032,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","Nếu công việc phù hợp thì e sẽ làm việc ít nhất 6 tháng đến 1 năm ạ 
Mức lương e mong muốn là 27k-30k/1h ạ "
139765599-2969255,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Em có hơn 1 năm kinh nghiệm ở viva star với vọ trí pha chế
139765599-2969255,các loại nước uống nào là thế mạnh của bạn?,"Cà phê,đá xay "
139765599-2969255,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",22k/h trở lên và mong muốn có thể đi lâu dài với quán
139765599-2989017,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Dạ chưa
139765599-2989017,các loại nước uống nào là thế mạnh của bạn?,Cà phê và các loại nước giải khát
139765599-2989017,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","Dạ cam kết làm ít nhất 6 tháng ạ
Mức lương mong muốn của em là 7 triệu"
139765599-2990854,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Đã có kinh nghiệm và từng làm việc tại Highlands, LIAS"
139765599-2990854,các loại nước uống nào là thế mạnh của bạn?,"Coffe, trà, đá xay"
139765599-2990854,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","Cam kết làm từ 6 tháng trở lên 
6.500.000 đến 7.500.000"
139765599-3031857,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Dạ e chưa có kinh nghiệm về barista
139765599-3031857,các loại nước uống nào là thế mạnh của bạn?,"Dạ cà phê phin, sinh tố, trà. "
139765599-3031857,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","Dạ cam kết ạ 
Mức lương e mong muốn là 6tr/1 tháng ạ"
139765599-3041009,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Từng làm pha chế cho quán nước ép và sinh tố
"
139765599-3041009,các loại nước uống nào là thế mạnh của bạn?,"các loại juice, smoothie
"
139765599-3041009,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","- Vâng
- Tổng thu nhập trong tháng từ 5tr
"
139765599-3046690,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Đã từng có kinh nghiệm , đã từng làm barista tại nhà hàng chay The Tching ."
139765599-3046690,các loại nước uống nào là thế mạnh của bạn?,"Coffee, tea , milk"
139765599-3046690,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","Tôi cam kết làm ít nhất 6 tháng
Mức lương mong muốn 6000000"
139765599-3052156,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",em có một chút kinh nghiệm ở quán cafe Sài Gòn Xưa Quận 4
139765599-3052156,các loại nước uống nào là thế mạnh của bạn?,"cafe sữa, cafe đá, sữa tươi cafe"
139765599-3052156,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","em cam kết ạ
mức lương của em trên 5 triệu ạ"
139765599-3055757,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Em có kinh nghiệm về barista
Em từng làm barista tại 
+Khói Coffee ( Gò Vấp ): quán của người nhà nên em được làm pha chế 3 tháng hè năm 2021 và 2022
+ Khôi Cafe ( Phường 15 , Gò Vấp ) : từ tháng 8 năm 2023 đến tháng 2 năm 2024
+LongKing coffee ( Bình Mỹ ) : từ tháng 10 năm 2023 đến nay "
139765599-3055757,các loại nước uống nào là thế mạnh của bạn?,"Các món sinh tố , trà cơ bản em đều có thể thành thục , em nghĩ thế mạnh của em là thích nghi với công thức mỗi quán dễ dàng , em tự tin với các món đá xay sinh tố và trà cơ bản "
139765599-3055757,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","Em xin được phép trình bày 
Vì hiện tại em vẫn còn đang làm bên hệ thống LongKing Coffee nên em muốn hỏi tới Quán hiện tại có thể nhận ca 15h đến 22h được không vì ca sáng của bên e làm là 5h30 nên em không xin ứng tuyển ca 3 4 được 

Vì sắp tới em đi học nên hết tháng 7 em mới xin được nghỉ tại hệ thống em đang làm , lúc đó e xin đứng ca đêm có thể là cả 2 ca 3 4 , em sợ lúc đó quán sẽ đủ nv nên e vẫn muốn ứng tuyển bây giờ để hỏi về vấn đề này , em cam kết sẽ làm dài lâu vì quán có ca đêm và mức lương hợp lí 
Em cảm ơn vì quán đã đọc cho em.
Nếu có phản hồi thì quán nhắn lại cho em nhé ạ.
"
139765599-3064299,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Phục vụ pha chế quán cafe tư , bartender phòng trà "
139765599-3064299,các loại nước uống nào là thế mạnh của bạn?,Cafe
139765599-3064299,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","Được ạ , em mong từ 25-28k/h"
139765599-3064347,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Em có kinh nghiệmpha chế cơ bản ở quán cf25 ạ
139765599-3064347,các loại nước uống nào là thế mạnh của bạn?,"Em k có thế mạnh ạ, em làm theo công thức và sự chỉ bảo của quán"
139765599-3064347,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",Mức lương mong muốn của em là 20-22k/1h ạ và em sẽ thương lượng lại với anh/chị để phù hợp với khả năng của em ạ
139765599-3064504,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Co
139765599-3064504,các loại nước uống nào là thế mạnh của bạn?,St
139765599-3064504,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",Ok
139765599-3068430,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","em có kinh nghiệm barista ạ, em làm tại gờ cafe được 6 tháng ạ"
139765599-3068430,các loại nước uống nào là thế mạnh của bạn?,dạ cafe và trà ạ
139765599-3068430,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","dạ được ạ
mức lương mong muốn của em là 27k/1h ạ"
139765599-3082009,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Tôi có kinh nghiệm về barista
Tôi từng làm ở Leo coffee đc 1 tháng"
139765599-3082009,các loại nước uống nào là thế mạnh của bạn?,Các loại trà trái cây
139765599-3082009,bạn cam kết làm ít nhất 6 tháng?,Tôi cam kết
139765599-3082009,ưu và nhược điểm của bạn?,"Năng động dễ hoà nhập với môi trường, Dễ làm quen với đồng nghiệp, nhiệt huyết với công việc . Nhược điểm là còn hạn chế về khoảng giao tiếp nhưng tôi sẽ cố gắng cải thiện mình . "
139765599-3082009,mức lương mong muốn của bạn?,Trên 5.500.000
139765599-3102337,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Katinat coffee and tea
139765599-3102337,các loại nước uống nào là thế mạnh của bạn?,"Trà trái cây
Trà sữa"
139765599-3102337,bạn cam kết làm ít nhất 6 tháng?,Tui cam kết
139765599-3102337,ưu và nhược điểm của bạn?,"Ưu điểm: hoà đồng, thân thiện, ham học hỏi
Nhược điểm: mới làm sẽ hơi rụt rè"
139765599-3102337,mức lương mong muốn của bạn?,8-9tr/ tháng
139765599-3104612,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Habana coffe , Ava coffe"
139765599-3104612,các loại nước uống nào là thế mạnh của bạn?,"Cà phê , sinh tố , trà trái cây , nước ép.."
139765599-3104612,bạn cam kết làm ít nhất 6 tháng?,Dạ có
139765599-3104612,ưu và nhược điểm của bạn?,Gọn gàng sạch sẽ ( ưu ) xoay ca ( nhược)
139765599-3104612,mức lương mong muốn của bạn?,6Trieu
139765599-3113450,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Chưa từng. Mong muốn học thêm về cafe
139765599-3113450,các loại nước uống nào là thế mạnh của bạn?,Tất cả trừ cafe và đồ uốg có cồn
139765599-3113450,bạn cam kết làm ít nhất 6 tháng?,lâu dài
139765599-3113450,ưu và nhược điểm của bạn?,"Ưu: chăm chỉ, chuyên cần, hòa đồng
Nhược:  Kĩ tính, hơi ocd"
139765599-3113450,mức lương mong muốn của bạn?,sẽ trao đổi khi pvân
139765599-3139902,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",dạ em từng làm pha chế ở Oasis cafe trong 6 tháng
139765599-3139902,các loại nước uống nào là thế mạnh của bạn?,"cafe, trà, sinh tố, nước ép"
139765599-3139902,bạn cam kết làm ít nhất 6 tháng?,được ạ
139765599-3139902,ưu và nhược điểm của bạn?,"học hỏi nhanh, dễ thích nghi
vì là đang năm 3 nên lịch học cũng tương đối dày nên em sẽ cố gắng xoay ca để đáp ứng yêu càu"
139765599-3139902,mức lương mong muốn của bạn?,như trên bài đăng ạ
139765599-3153291,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Chưa
139765599-3153291,các loại nước uống nào là thế mạnh của bạn?,Chưa
139765599-3153291,bạn cam kết làm ít nhất 6 tháng?,Chấp nhận khi phù hợp
139765599-3153291,ưu và nhược điểm của bạn?,"Uu: Học hỏi nhanh và hoàn thành công việc tốt
Nhược điểm : sẽ hỏi nhiều khi không hiểu"
139765599-3153291,mức lương mong muốn của bạn?,3 triệu
139765599-3154222,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","em từng làm nhân viên quán trà sữa take away ạ, từng làm quán cà phê vài tháng nên cũng biết sử dụng máy ạ"
139765599-3154222,các loại nước uống nào là thế mạnh của bạn?,"trà sữa, cà phê"
139765599-3154222,bạn cam kết làm ít nhất 6 tháng?,"dạ em gắn bó lâu dài ạ
"
139765599-3154222,ưu và nhược điểm của bạn?,"ưu điểm: luôn muốn học hỏi, sẵn sàng khắc phục lỗi sai,nhanh chóng làm quen với môi trường làm việc mới
nhược điểm: ngại làm phiền người khác, chưa đủ mạnh dạng để chia sẻ quan điểm cá nhân
"
139765599-3154222,mức lương mong muốn của bạn?,khởi điểm 23k/h
139765599-3174236,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",1 năm quán the st coffee
139765599-3174236,các loại nước uống nào là thế mạnh của bạn?,"coffee , cacao,trà sữa ,trà thanh nhiệt"
139765599-3174236,bạn cam kết làm ít nhất 6 tháng?,tôi xin cam đoan
139765599-3174236,ưu và nhược điểm của bạn?,hơi bở ngỡ với môi trường mới
139765599-3174236,mức lương mong muốn của bạn?,7 triệu và có thể tăng ca
157076217-456649,bạn sống ở đâu?,"Bình minh, vĩnh long "
157076217-456649,bạn đã từng làm ở đâu?,"Cty may Việt Tiến, may tại nhà, và học nghề spa 
"
158304371-2987280,bạn đã từng làm về kinh doanh online ?,Tôi từng làm rồi
158304371-2987280,bạn có biết sử dụng các app mxh & sàn tmđt ?,Tôi biết sử dụng
158113345-457179,"bạn có điện thoại thông minh không?
bạn có xe máy số không?","Mình có điện thoại thông minh
Có xe tay ga có được k?"
158113345-457642,"bạn có điện thoại thông minh không?
bạn có xe máy số không?",Tôi có
158113345-458307,"bạn có điện thoại thông minh không?
bạn có xe máy số không?",có đầy đủ
158113345-473925,"bạn có điện thoại thông minh không?
bạn có xe máy số không?",có xe máy số
158113345-476000,"bạn có điện thoại thông minh không?
bạn có xe máy số không?",có
158113345-2960405,"bạn có điện thoại thông minh không?
bạn có xe máy số không?","e có điện thoại và có xe máy riêng, thông thuộc đường khu vực hải châu , thanh khê, và biết 1 số khu vực khác"
158113345-2971030,"bạn có điện thoại thông minh không?
bạn có xe máy số không?",Có
158113345-3040428,"bạn có điện thoại thông minh không?
bạn có xe máy số không?",có
158113345-3041369,"bạn có điện thoại thông minh không?
bạn có xe máy số không?","có
"
158113345-3049048,"bạn có điện thoại thông minh không?
bạn có xe máy số không?",Dạ có hết ạ
158113345-3059009,"bạn có điện thoại thông minh không?
bạn có xe máy số không?",dạ e có điện thoại thông minh và 1 chiếc xe máy số 125cc
158113345-3065501,"bạn có điện thoại thông minh không?
bạn có xe máy số không?","có ạ
"
157530346-2877089,anh có thông tin về án tích/nợ xấu gì không ạ?,không
157530346-2877089,anh có sử dụng điện thoại android không ạ?,có
157530346-2877194,anh có thông tin về án tích/nợ xấu gì không ạ?,ko
157530346-2877194,anh có sử dụng điện thoại android không ạ?,có
157530346-2887221,anh có thông tin về án tích/nợ xấu gì không ạ?,"em không án tích và nợ xấu
"
157530346-2887221,anh có sử dụng điện thoại android không ạ?,em đang sử dụng điện thoại android
157530346-2887526,anh có thông tin về án tích/nợ xấu gì không ạ?,"không

"
157530346-2887526,anh có sử dụng điện thoại android không ạ?,"có 
"
157530346-2918566,anh có thông tin về án tích/nợ xấu gì không ạ?,không
157530346-2918566,anh có sử dụng điện thoại android không ạ?,có
154696680-459604,bạn có phải là người thích học hỏi?,dạ có
154696680-459604,bạn có ngại việc tự học?,"dạ không , em rất thích học hỏi nhiều điều"
154696680-459604,bạn có phải là người có trách nhiệm. nếu những công việc được giao chưa hoàn thành xong tại nơi làm việc bạn sẽ tiếp tục về nhà làm?,dạ chắc chắn có
154696680-469716,bạn có phải là người thích học hỏi?,Tôi là người thích học hỏi
154696680-469716,bạn có ngại việc tự học?,Tôi sẵn sàng với việc tự học và phát triển bản thân
154696680-469716,bạn có phải là người có trách nhiệm. nếu những công việc được giao chưa hoàn thành xong tại nơi làm việc bạn sẽ tiếp tục về nhà làm?,Tôi là người biết chịu trách nhiệm với công việc mình làm
154696680-2954481,bạn có phải là người thích học hỏi?,có ạ
154696680-2954481,bạn có ngại việc tự học?,không
154696680-2954481,bạn có phải là người có trách nhiệm. nếu những công việc được giao chưa hoàn thành xong tại nơi làm việc bạn sẽ tiếp tục về nhà làm?,đúng vậy
154696680-2988956,bạn có phải là người thích học hỏi?,Dạ đúng
154696680-2988956,bạn có ngại việc tự học?,Dạ không ạ !
154696680-2988956,bạn có phải là người có trách nhiệm. nếu những công việc được giao chưa hoàn thành xong tại nơi làm việc bạn sẽ tiếp tục về nhà làm?,Dạ vâng
154696680-3018479,bạn có phải là người thích học hỏi?,Tôi rất thích học hỏi và trao dồi thêm kiến thức cho bản thân mình
154696680-3018479,bạn có ngại việc tự học?,Tôi không về vấn đề mà mình phải tự học. Chẳng hạn khi tôi mới được tuyển dụng vào một vị trí nào đó của cử hàng tui sẽ tìm hiểu từ trước công việc mà cửa hàng đã yêu cầu
154696680-3018479,bạn có phải là người có trách nhiệm. nếu những công việc được giao chưa hoàn thành xong tại nơi làm việc bạn sẽ tiếp tục về nhà làm?,Khi làm ở bất cứ chỗ nào tôi nghĩ cái phần công việc được cấp trên giao là trách nhiệm của mình dù mình có bận thế nào mình cũng phải hoàn thành công việc đó chứ không thể đùng đẩy cho người khác được
154696680-3045250,bạn có phải là người thích học hỏi?,có
154696680-3045250,bạn có ngại việc tự học?,không
154696680-3045250,bạn có phải là người có trách nhiệm. nếu những công việc được giao chưa hoàn thành xong tại nơi làm việc bạn sẽ tiếp tục về nhà làm?,có
158049807-2958855,"nếu nhận việc, bạn dự kiến làm công việc này trong bao lâu?",Lâu dài
158049807-2976488,"nếu nhận việc, bạn dự kiến làm công việc này trong bao lâu?","ít nhất 2 năm, công việc ổn sẽ gắn bó lâu dài."
156223016-2735999,bạn đã làm qua những công việc nghành nghề gì?,Em mới đi làm!
156223016-2735999,mức thu nhập mong muốn của bạn là bao nhiêu?,"Thì sức em đến đâu!
"
158365068-465105,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,tìm công việc ổn định và lâu dài
158365068-465105,ưu điểm và nhược điểm của bạn?,"Ưu điểm quan tâm lắng nghe khách hàng
Nhược điểm nói chuyện hơi nhanh"
158365068-465105,bạn muốn làm việc trong môi trường như thế nào?,hòa đồng vui vẻ
158365068-465284,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Em tìm việc lâu dài ạ
158365068-465284,ưu điểm và nhược điểm của bạn?,"Hoà đồng hoạt bát với mọi người có kinh nghiệm bán hàng
Hay quên vài thứ nhỏ nhỏ"
158365068-465284,bạn muốn làm việc trong môi trường như thế nào?,Môi trường làm việc vui vẻ k áp lực
158365068-465459,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,dạ em mong muốn tìm việc để gắn bó lâu dài.
158365068-465459,ưu điểm và nhược điểm của bạn?,"ưu điểm: hoà đồng, thân thiện
nhược điểm: hơi hướng nội"
158365068-465459,bạn muốn làm việc trong môi trường như thế nào?,"vui vẻ, năng động và không toxic"
158365068-2995922,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Em làm lâu dài k có xác định là thời gian nghĩ ạ
158365068-2995922,ưu điểm và nhược điểm của bạn?,Hơi nhanh
158365068-2995922,bạn muốn làm việc trong môi trường như thế nào?,Tất cả ạ
158365068-2995960,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Lâu dài ạ
158365068-2995960,ưu điểm và nhược điểm của bạn?,"Nhược điểm là hay quên 
Ưu nhanh nhẹn , biết lắng nghe và tiếp thu"
158365068-2995960,bạn muốn làm việc trong môi trường như thế nào?,Môi trường năng động
158365068-2996279,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Gắn bó lâu dài
158365068-2996279,ưu điểm và nhược điểm của bạn?,"Ưu : Siêng năng chịu khó 
khuyết: hơi mâp
"
158365068-2996279,bạn muốn làm việc trong môi trường như thế nào?,"vui vẻ , chia sẻ , hoà nhã"
158365068-2996391,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Em cần tìm công việc từ 6-12 tháng
158365068-2996391,ưu điểm và nhược điểm của bạn?,"- giọng nói dễ nghe
- có thể tư vấn bán hàng"
158365068-2996391,bạn muốn làm việc trong môi trường như thế nào?,"Linh động, thoải mái"
158365068-2997030,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Em làm lâu dài ( ít nhất 2 & 3 năm )
158365068-2997030,ưu điểm và nhược điểm của bạn?,"Ưu điểm : biết lắng nghe , thích học hỏi, có trách nhiệm, 
Nhược điểm : không rành các phần mềm công nghệ "
158365068-2997030,bạn muốn làm việc trong môi trường như thế nào?,"Vui vẻ , thăng tiến trong công việc"
158365068-2997798,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Em muốn tìm công việc gắn bó lâu dài
158365068-2997798,ưu điểm và nhược điểm của bạn?,"Ưu điểm : siêng năng tập trung trong công việc
"
158365068-2997798,bạn muốn làm việc trong môi trường như thế nào?,Môi trường nào em cũng làm được ạ
158365068-2998257,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Em đang tìm một công việc để có thể gắn bó lâu dài
158365068-2998257,ưu điểm và nhược điểm của bạn?,"Ưu điểm: hoạt ngôn và nhanh tiếp thu công việc
Nhược điểm: dễ bị chi phối cảm xúc"
158365068-2998257,bạn muốn làm việc trong môi trường như thế nào?,"Năng động, sáng tạo"
158365068-2998513,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,công việc lâu dài ạ
158365068-2998513,ưu điểm và nhược điểm của bạn?,.
158365068-2998513,bạn muốn làm việc trong môi trường như thế nào?,"hoà đồng  , vui vẻ ạ"
158365068-3003119,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Dạ em đang tìm kiếm một công việc phù hợp để gắn bó lâu dài ạ
158365068-3003119,ưu điểm và nhược điểm của bạn?,"Ưu điểm: Học hỏi nhanh, chịu khó
Nhược điểm: Không có"
158365068-3003119,bạn muốn làm việc trong môi trường như thế nào?,Môi trường nào cũng có thể linh hoạt để hoà nhập
158365068-3003936,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Gắn bó lâu dài ạ
158365068-3003936,ưu điểm và nhược điểm của bạn?,"Tham học hỏi, kĩ tính"
158365068-3003936,bạn muốn làm việc trong môi trường như thế nào?,"Năng động, tiếp xúc khách hàng"
158365068-3004913,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Hi vọng sẽ gắn bó với công việc trong thời gian dài
158365068-3004913,ưu điểm và nhược điểm của bạn?,Chăm chỉ và chịu học hỏi
158365068-3004913,bạn muốn làm việc trong môi trường như thế nào?,Năng động
158365068-3004970,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Em đang tìm kiếm công việc lâu dài ạ
158365068-3004970,ưu điểm và nhược điểm của bạn?,"Ưu điểm: đúng giờ, kiên trì, siêng năng, gọn gàng
"
158365068-3004970,bạn muốn làm việc trong môi trường như thế nào?,Môi trường làm việc thân thiện và thoải mái
158365068-3005518,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,Lâu dài
158365068-3005518,ưu điểm và nhược điểm của bạn?,"Ưu điểm: Nhanh nhẹn, trung thực. 
Nhược điểm: "
158365068-3005518,bạn muốn làm việc trong môi trường như thế nào?,"Hoà nhã, vui vẻ. "
158365068-3006774,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,làm việc lâu dài
158365068-3006774,ưu điểm và nhược điểm của bạn?,"Ưa điểm: kinh nghiệm đã tiếp xúc nhiều với khác hàng lâu năm, hiểu được tâm lý khách hàng và chốt đơn
Nhược điểm: trong lúc làm việc thường tập trung nên có thể không để ý xung quanh làm mn khó chịu "
158365068-3006774,bạn muốn làm việc trong môi trường như thế nào?,"Năng động, thoải mái"
158365068-3008260,bạn đang tìm kiếm việc phù hợp để gắn bó lâu dài hay làm cho biết (vài tháng) rồi nghỉ để đổi công việc mới?,"Dạ em đang tìm công việc làm lâu dài, vs em cun vc rất gêu thích bán đồ ạ"
158365068-3008260,ưu điểm và nhược điểm của bạn?,"Em cũng không biết nói cụ thể như thế nào, nhưng em thấy mình tiếp thu nhanh và có khả năng quan sát để ý chi tiết. Em cũng từng bán hàng quần áo online suốt mấy năm cấp ba và em nhận thấy mình cũng có một chút khiếu thẩm mỹ"
158365068-3008260,bạn muốn làm việc trong môi trường như thế nào?,"Môi trường năng động sáng tạo, giúp em trau dồi kiến thức và học hỏi được nhiều kinh nghiệm ạ"
